Field,Phase,SI,log_IAP,"log K(300 K, 1 atm)",Form
COALINGA,Manganite,-4.22,-4.39,-0.16,MnO(OH)
COALINGA,Manganosite,-8.77,9.44,18.21,MnO
COALINGA,Melanterite,-8.6,-11.02,-2.42,FeSO4:7H2O
COALINGA,Mercallite,-12.17,-13.61,-1.44,KHSO4
COALINGA,Mg,-92.04,32.25,124.3,Mg
COALINGA,Mg(g),-112.12,32.25,144.37,Mg
COALINGA,Mg1.25SO4(OH)0.5:0.5H2O,-8.33,-2.9,5.43,Mg1.25SO4(OH)0.5:0.5H2O
COALINGA,Mg1.5SO4(OH),-9.3,0.21,9.51,Mg1.5SO4(OH)
COALINGA,MgBr2,-40.42,-11.48,28.94,MgBr2
COALINGA,MgBr2:6H2O,-16.67,-11.48,5.19,MgBr2:6H2O
COALINGA,MgCl2:2H2O,-19.18,-6.23,12.95,MgCl2:2H2O
COALINGA,MgCl2:4H2O,-13.64,-6.23,7.41,MgCl2:4H2O
COALINGA,MgCl2:H2O,-22.58,-6.23,16.36,MgCl2:H2O
COALINGA,MgOHCl,-13.07,3.11,16.18,MgOHCl
COALINGA,MgSeO3,-12.21,-10.36,1.85,MgSeO3
COALINGA,MgSeO3:6H2O,-6.9,-10.36,-3.46,MgSeO3:6H2O
COALINGA,MgSO4,-11.05,-6.01,5.05,MgSO4
COALINGA,Mirabilite,-3.93,-5.27,-1.34,Na2SO4:10H2O
COALINGA,Misenite,-79.38,-90.46,-11.08,K8H6(SO4)7
COALINGA,Mn,-54.88,29.25,84.13,Mn
COALINGA,Mn(OH)2(am),-6.1,9.44,15.54,Mn(OH)2
COALINGA,Mn(OH)3,-10.73,-4.39,6.34,Mn(OH)3
COALINGA,MnCl2:2H2O,-13.31,-9.23,4.08,MnCl2:2H2O
COALINGA,MnCl2:4H2O,-12.01,-9.23,2.78,MnCl2:4H2O
COALINGA,MnCl2:H2O,-14.89,-9.23,5.66,MnCl2:H2O
COALINGA,MnO2(gamma),-10.65,-26.78,-16.13,MnO2
COALINGA,MnSe,-36.31,-47,-10.69,MnSe
COALINGA,MnSeO3,-6.09,-13.36,-7.27,MnSeO3
COALINGA,MnSeO3:2H2O,-7,-13.36,-6.37,MnSeO3:2H2O
COALINGA,MnSO4,-11.78,-9.01,2.76,MnSO4
COALINGA,Molysite,-35.59,-21.76,13.83,FeCl3
COALINGA,Monohydrocalcite,-0.28,2.44,2.73,CaCO3:H2O
COALINGA,Na,-51.77,16.5,68.28,Na
COALINGA,Na(g),-65.52,16.5,82.02,Na
COALINGA,Na2CO3,-7.94,3.32,11.26,Na2CO3
COALINGA,Na2CO3:7H2O,-6.56,3.31,9.88,Na2CO3:7H2O
COALINGA,Na2O,-55.06,13.19,68.26,Na2O
COALINGA,Na2Se,-55.25,-43.25,12,Na2Se
COALINGA,Na2Se2,-57.39,-119.5,-62.11,Na2Se2
COALINGA,Na3H(SO4)2,-16.22,-17.11,-0.89,Na3H(SO4)2
COALINGA,Na4Ca(SO4)3:2H2O,-10.75,-16.65,-5.89,Na4Ca(SO4)3:2H2O
COALINGA,NaBr,-8.32,-5.36,2.95,NaBr
COALINGA,NaBr:2H2O,-7.42,-5.36,2.05,NaBr:2H2O
COALINGA,NaFeO2,-7.44,12.84,20.27,NaFeO2
COALINGA,Nahcolite,-3.1,-3.28,-0.18,NaHCO3
COALINGA,Natron,-6.16,3.31,9.47,Na2CO3:10H2O
COALINGA,Nesquehonite,-2.84,2.56,5.4,MgCO3:3H2O
COALINGA,O2(g),-36.76,-39.62,-2.86,O2
COALINGA,Oxychloride-Mg,-10.29,15.54,25.83,Mg2Cl(OH)3:4H2O
COALINGA,Pentahydrite,-4.63,-6.01,-1.39,MgSO4:5H2O
COALINGA,Periclase,-9.24,12.44,21.68,MgO
COALINGA,Picromerite,-10.35,-14.79,-4.44,K2Mg(SO4)2:6H2O
COALINGA,Pirssonite,-5.56,5.76,11.32,Na2Ca(CO3)2:2H2O
COALINGA,Polyhalite,-12.74,-27.05,-14.31,K2MgCa2(SO4)4:2H2O
COALINGA,Portlandite,-10.54,12.32,22.85,Ca(OH)2
COALINGA,Pyrolusite,-8.92,-26.78,-17.86,MnO2
COALINGA,Rhodochrosite,-0.27,-0.44,-0.17,MnCO3
COALINGA,Scacchite,-18.15,-9.23,8.92,MnCl2
COALINGA,Se,-9.77,16.83,26.6,Se
COALINGA,Se2O5,-61.01,-51.23,9.78,Se2O5
COALINGA,SeCl4,-74.78,-60.13,14.65,SeCl4
COALINGA,SeO3,-47.94,-28.43,19.51,SeO3
COALINGA,Siderite,-2.3,-2.44,-0.14,FeCO3
COALINGA,Sr,-113.38,30.37,143.75,Sr
COALINGA,Sr(OH)2,-17.33,10.56,27.89,Sr(OH)2
COALINGA,Sr3(AsO4)2,-21.93,-0.95,20.97,Sr3(AsO4)2
COALINGA,SrBr2,-26.6,-13.35,13.25,SrBr2
COALINGA,SrBr2:6H2O,-16.94,-13.36,3.58,SrBr2:6H2O
COALINGA,SrBr2:H2O,-23.03,-13.36,9.67,SrBr2:H2O
COALINGA,SrCl2,-16.14,-8.1,8.03,SrCl2
COALINGA,SrCl2:2H2O,-11.44,-8.11,3.33,SrCl2:2H2O
COALINGA,SrCl2:6H2O,-9.55,-8.11,1.43,SrCl2:6H2O
COALINGA,SrCl2:H2O,-12.92,-8.11,4.82,SrCl2:H2O
COALINGA,SrO,-31.9,10.56,42.46,SrO
COALINGA,SrSeO4,-13.47,-17.87,-4.4,SrSeO4
COALINGA,Starkeyite,-5.01,-6.01,-1,MgSO4:4H2O
COALINGA,Strontianite,1.01,0.69,-0.32,SrCO3
COALINGA,Sylvite,-5.28,-4.5,0.79,KCl
COALINGA,Syngenite,-7.31,-14.91,-7.6,K2Ca(SO4)2:H2O
COALINGA,Tachyhydrite,-35.96,-18.81,17.14,Mg2CaCl6:12H2O
COALINGA,Thenardite,-4.91,-5.26,-0.35,Na2SO4
COALINGA,Thermonatrite,-7.69,3.32,11,Na2CO3:H2O
COALINGA,Todorokite,-43.51,-89.33,-45.82,Mn7O12:3H2O
COALINGA,Trona-K,-15.07,-3.48,11.59,K2NaH(CO3)2:2H2O
COALINGA,Witherite,2.76,-0.29,-3.05,BaCO3
COALINGA,Wustite,-5.73,6.91,12.65,Fe.947O
EDISON,Alstonite,0.3,2.88,2.58,BaCa(CO3)2
EDISON,Anhydrite,-3.67,-8.02,-4.35,CaSO4
EDISON,Antarcticite,-9.64,-5.55,4.09,CaCl2:6H2O
EDISON,Aphthitalite,-18.25,-22.14,-3.89,NaK3(SO4)2
EDISON,Aragonite,0.79,2.76,1.97,CaCO3
EDISON,Arcanite,-10.26,-12.1,-1.84,K2SO4
EDISON,Arsenolite,-44.63,-64.48,-19.84,As2O3
EDISON,Artinite,-5.2,14.42,19.63,Mg2CO3(OH)2:3H2O
EDISON,As,-45.82,-3.14,42.68,As
EDISON,As2O5,-33.51,-31.37,2.14,As2O5
EDISON,As4O6(cubi),-89.13,-128.95,-39.82,As4O6
EDISON,As4O6(mono),-88.9,-128.95,-40.05,As4O6
EDISON,B,-83.4,26.16,109.56,B
EDISON,B(g),-174.68,26.16,200.84,B
EDISON,B2O3,-11.43,-5.88,5.55,B2O3
EDISON,Ba,-111.66,29.57,141.23,Ba
EDISON,Ba(OH)2:8H2O,-14.33,10.16,24.49,Ba(OH)2:8H2O
EDISON,BaCl2,-10.4,-8.18,2.23,BaCl2
EDISON,BaCl2:2H2O,-8.39,-8.18,0.21,BaCl2:2H2O
EDISON,BaCl2:H2O,-9,-8.18,0.82,BaCl2:H2O
EDISON,BaMnO4,-41.45,-51.54,-10.09,BaMnO4
EDISON,BaO,-37.63,10.17,47.8,BaO
EDISON,Barite,-0.64,-10.65,-10.01,BaSO4
EDISON,Barytocalcite,0.14,2.88,2.74,BaCa(CO3)2
EDISON,BaSeO3,-5.72,-12.29,-6.57,BaSeO3
EDISON,BaSeO4,-10.25,-17.71,-7.46,BaSeO4
EDISON,Bassanite,-4.31,-8.02,-3.71,CaSO4:0.5H2O
EDISON,Birnessite,-51.9,-137.44,-85.55,Mn8O14:5H2O
EDISON,Bischofite,-10.51,-6.12,4.39,MgCl2:6H2O
EDISON,Bixbyite,-7.51,-8.47,-0.96,Mn2O3
EDISON,Bloedite,-14.1,-16.58,-2.48,Na2Mg(SO4)2:4H2O
EDISON,Borax,-10.97,1.07,12.04,Na2(B4O5(OH)4):8H2O
EDISON,Boric_acid,-2.78,-2.94,-0.16,B(OH)3
EDISON,Brucite,-4.05,12.24,16.28,Mg(OH)2
EDISON,Burkeite,-22.67,-13.18,9.49,Na6CO3(SO4)2
EDISON,C,-35.39,28.75,64.15,C
EDISON,C(g),-153.01,28.75,181.77,C
EDISON,Ca,-107.63,32.2,139.83,Ca
EDISON,Ca(g),-132.87,32.2,165.07,Ca
EDISON,Ca2Cl2(OH)2:H2O,-19.03,7.26,26.29,Ca2Cl2(OH)2:H2O
EDISON,Ca3(AsO4)2,-10.77,7.03,17.8,Ca3(AsO4)2
EDISON,Ca4Cl2(OH)6:13H2O,-35.48,32.85,68.33,Ca4Cl2(OH)6:13H2O
EDISON,Calcite,0.93,2.76,1.82,CaCO3
EDISON,Carnallite,-15.2,-10.93,4.27,KMgCl3:6H2O
EDISON,CaSeO3:2H2O,-5.02,-9.66,-4.63,CaSeO3:2H2O
EDISON,CaSeO4,-11.98,-15.07,-3.09,CaSeO4
EDISON,CaSO4:0.5H2O(beta),-4.49,-8.02,-3.54,CaSO4:0.5H2O
EDISON,Celestite,-4.38,-10.11,-5.72,SrSO4
EDISON,Chloromagnesite,-27.93,-6.11,21.82,MgCl2
EDISON,Cl2(g),-40.74,-37.75,2.99,Cl2
EDISON,Claudetite,-44.68,-64.48,-19.8,As2O3
EDISON,CO2(g),-2.22,-10.05,-7.83,CO2
EDISON,Colemanite,-13.55,7.97,21.51,Ca2B6O11:5H2O
EDISON,Dolomite,2.48,4.95,2.47,CaMg(CO3)2
EDISON,Dolomite-dis,0.94,4.95,4.01,CaMg(CO3)2
EDISON,Dolomite-ord,2.48,4.95,2.46,CaMg(CO3)2
EDISON,Downeyite,-15.67,-22.46,-6.79,SeO2
EDISON,Epsomite,-6.63,-8.59,-1.96,MgSO4:7H2O
EDISON,Fe,-30.8,28.22,59.02,Fe
EDISON,Fe(OH)2,-5.08,8.82,13.89,Fe(OH)2
EDISON,Fe(OH)3,1.96,7.6,5.64,Fe(OH)3
EDISON,Fe2(SO4)3,-50.32,-47.27,3.05,Fe2(SO4)3
EDISON,FeO,-4.71,8.82,13.52,FeO
EDISON,Ferrite-Ca,6.5,28,21.5,CaFe2O4
EDISON,Ferrite-Dicalcium,-16,40.8,56.8,Ca2Fe2O5
EDISON,Ferrite-Mg,6.41,27.43,21.02,MgFe2O4
EDISON,Ferroselite,-33.32,-114.14,-80.82,FeSe2
EDISON,FeSO4,-14.61,-12.01,2.61,FeSO4
EDISON,Gaylussite,-5.62,5.54,11.16,CaNa2(CO3)2:5H2O
EDISON,Glauberite,-10.54,-16.01,-5.47,Na2Ca(SO4)2
EDISON,Goethite,7.07,7.6,0.53,FeOOH
EDISON,Gypsum,-3.49,-8.02,-4.53,CaSO4:2H2O
EDISON,H2(g),-23.6,-26.7,-3.1,H2
EDISON,H2O(g),-1.59,0,1.59,H2O
EDISON,Halite,-4.32,-2.76,1.56,NaCl
EDISON,Hausmannite,-9.08,1.07,10.14,Mn3O4
EDISON,HCl(g),-15.48,-9.17,6.3,HCl
EDISON,Hematite,15.12,15.2,0.08,Fe2O3
EDISON,Hexahydrite,-6.86,-8.59,-1.73,MgSO4:6H2O
EDISON,Huntite,-0.89,9.33,10.22,CaMg3(CO3)4
EDISON,Hydroboracite,-12.96,7.4,20.36,MgCaB6O11:6H2O
EDISON,Hydromagnesite,-9.74,21,30.74,Mg5(CO3)4(OH)2:4H2O
EDISON,Hydrophilite,-17.29,-5.54,11.75,CaCl2
EDISON,Ice,-0.14,0,0.14,H2O
EDISON,Jarosite,-5.08,-14.49,-9.41,KFe3(SO4)2(OH)6
EDISON,Jarosite-Na,-6.99,-12.43,-5.45,NaFe3(SO4)2(OH)6
EDISON,K,-56.92,14.06,70.98,K
EDISON,K(g),-67.52,14.06,81.58,K
EDISON,K2CO3:1.5H2O,-14.7,-1.32,13.38,K2CO3:1.5H2O
EDISON,K2O,-75.31,8.72,84.04,K2O
EDISON,K2Se,-58.58,-47.3,11.29,K2Se
EDISON,K3H(SO4)2,-24.94,-28.56,-3.62,K3H(SO4)2
EDISON,K8H4(CO3)6:3H2O,-53.09,-25.38,27.71,K8H4(CO3)6:3H2O
EDISON,Kainite,-13.09,-13.4,-0.31,KMgClSO4:3H2O
EDISON,Kalicinite,-5.97,-5.68,0.28,KHCO3
EDISON,Kieserite,-8.32,-8.59,-0.27,MgSO4:H2O
EDISON,KMgCl3,-32.17,-10.92,21.25,KMgCl3
EDISON,KMgCl3:2H2O,-24.89,-10.92,13.96,KMgCl3:2H2O
EDISON,KNaCO3:6H2O,-9.53,0.73,10.26,KNaCO3:6H2O
EDISON,Lansfordite,-2.65,2.19,4.84,MgCO3:5H2O
EDISON,Lawrencite,-18.58,-9.53,9.05,FeCl2
EDISON,Leonite,-16.58,-20.69,-4.11,K2Mg(SO4)2:4H2O
EDISON,Lime,-19.77,12.8,32.57,CaO
EDISON,Magnesite,-0.08,2.19,2.27,MgCO3
EDISON,Magnetite,13.6,24.01,10.42,Fe3O4
EDISON,Manganite,-4.07,-4.24,-0.16,MnO(OH)
EDISON,Manganosite,-8.38,9.54,17.92,MnO
EDISON,Melanterite,-9.61,-12.01,-2.4,FeSO4:7H2O
EDISON,Mercallite,-15.02,-16.46,-1.44,KHSO4
EDISON,Mg,-90.89,31.63,122.52,Mg
EDISON,Mg(g),-110.61,31.63,142.25,Mg
EDISON,Mg1.25SO4(OH)0.5:0.5H2O,-10.72,-5.53,5.2,Mg1.25SO4(OH)0.5:0.5H2O
EDISON,Mg1.5SO4(OH),-11.68,-2.47,9.21,Mg1.5SO4(OH)
EDISON,MgCl2:2H2O,-18.84,-6.11,12.73,MgCl2:2H2O
EDISON,MgCl2:4H2O,-13.42,-6.11,7.3,MgCl2:4H2O
EDISON,MgCl2:H2O,-22.18,-6.11,16.07,MgCl2:H2O
EDISON,MgOHCl,-12.83,3.06,15.89,MgOHCl
EDISON,MgSeO3,-11.9,-10.22,1.67,MgSeO3
EDISON,MgSeO3:6H2O,-6.79,-10.23,-3.44,MgSeO3:6H2O
EDISON,MgSO4,-13.41,-8.59,4.83,MgSO4
EDISON,Mirabilite,-6.84,-8,-1.15,Na2SO4:10H2O
EDISON,Misenite,-99.79,-110.87,-11.08,K8H6(SO4)7
EDISON,Mn,-54,28.94,82.93,Mn
EDISON,Mn(OH)2(am),-5.77,9.54,15.31,Mn(OH)2
EDISON,Mn(OH)3,-10.58,-4.24,6.34,Mn(OH)3
EDISON,MnCl2:2H2O,-12.81,-8.81,4,MnCl2:2H2O
EDISON,MnCl2:4H2O,-11.56,-8.81,2.75,MnCl2:4H2O
EDISON,MnCl2:H2O,-14.35,-8.81,5.54,MnCl2:H2O
EDISON,MnO2(gamma),-9.96,-26.09,-16.13,MnO2
EDISON,MnSe,-35.78,-46.48,-10.7,MnSe
EDISON,MnSeO3,-5.65,-12.92,-7.27,MnSeO3
EDISON,MnSeO3:2H2O,-6.59,-12.92,-6.33,MnSeO3:2H2O
EDISON,MnSO4,-13.89,-11.28,2.61,MnSO4
EDISON,Molysite,-33.39,-19.92,13.47,FeCl3
EDISON,Monohydrocalcite,0.08,2.76,2.68,CaCO3:H2O
EDISON,Na,-51.25,16.12,67.37,Na
EDISON,Na(g),-64.74,16.12,80.86,Na
EDISON,Na2CO3,-8.37,2.79,11.16,Na2CO3
EDISON,Na2CO3:7H2O,-7.15,2.78,9.94,Na2CO3:7H2O
EDISON,Na2O,-54.58,12.84,67.42,Na2O
EDISON,Na2Se,-55.01,-43.18,11.83,Na2Se
EDISON,Na2Se2,-57.25,-118.6,-61.35,Na2Se2
EDISON,Na3H(SO4)2,-21.5,-22.39,-0.89,Na3H(SO4)2
EDISON,Na4Ca(SO4)3:2H2O,-18.1,-24,-5.89,Na4Ca(SO4)3:2H2O
EDISON,NaFeO2,-5.87,14.02,19.88,NaFeO2
EDISON,Nahcolite,-3.49,-3.63,-0.14,NaHCO3
EDISON,Natron,-6.81,2.78,9.59,Na2CO3:10H2O
EDISON,Nesquehonite,-3.1,2.19,5.29,MgCO3:3H2O
EDISON,Niter,-7.02,-7.24,-0.22,KNO3
EDISON,Nitrobarite,-10.54,-13.03,-2.49,Ba(NO3)2
EDISON,NO2(g),-10.25,-1.9,8.35,NO2
EDISON,O2(g),-35.9,-38.8,-2.89,O2
EDISON,Oxychloride-Mg,-10.54,15.29,25.83,Mg2Cl(OH)3:4H2O
EDISON,Pentahydrite,-7.2,-8.59,-1.39,MgSO4:5H2O
EDISON,Periclase,-9.09,12.24,21.33,MgO
EDISON,Picromerite,-16.25,-20.69,-4.44,K2Mg(SO4)2:6H2O
EDISON,Pirssonite,-5.78,5.55,11.32,Na2Ca(CO3)2:2H2O
EDISON,Polyhalite,-22.42,-36.73,-14.31,K2MgCa2(SO4)4:2H2O
EDISON,Portlandite,-9.75,12.8,22.55,Ca(OH)2
EDISON,Pyrolusite,-8.42,-26.09,-17.66,MnO2
EDISON,Rhodochrosite,-0.29,-0.51,-0.22,MnCO3
EDISON,Scacchite,-17.55,-8.81,8.74,MnCl2
EDISON,Se,-9.76,16.34,26.1,Se
EDISON,Se2O5,-59.83,-50.34,9.49,Se2O5
EDISON,SeCl4,-73.49,-59.15,14.33,SeCl4
EDISON,SeO3,-47.04,-27.88,19.16,SeO3
EDISON,Siderite,-1.01,-1.23,-0.22,FeCO3
EDISON,Sr,-111.66,30.11,141.77,Sr
EDISON,Sr(NO3)2,-13.63,-12.49,1.14,Sr(NO3)2
EDISON,Sr(NO3)2:4H2O,-13.18,-12.49,0.69,Sr(NO3)2:4H2O
EDISON,Sr(OH)2,-16.81,10.71,27.52,Sr(OH)2
EDISON,Sr3(AsO4)2,-19.84,0.77,20.61,Sr3(AsO4)2
EDISON,SrCl2,-15.53,-7.63,7.9,SrCl2
EDISON,SrCl2:2H2O,-10.92,-7.63,3.29,SrCl2:2H2O
EDISON,SrCl2:6H2O,-9.13,-7.64,1.49,SrCl2:6H2O
EDISON,SrCl2:H2O,-12.37,-7.63,4.73,SrCl2:H2O
EDISON,SrO,-31.17,10.71,41.88,SrO
EDISON,SrSeO4,-12.76,-17.16,-4.4,SrSeO4
EDISON,Starkeyite,-7.59,-8.59,-1,MgSO4:4H2O
EDISON,Strontianite,1.01,0.67,-0.34,SrCO3
EDISON,Sylvite,-5.64,-4.81,0.83,KCl
EDISON,Syngenite,-12.52,-20.12,-7.6,K2Ca(SO4)2:H2O
EDISON,Tachyhydrite,-34.92,-17.78,17.14,Mg2CaCl6:12H2O
EDISON,Thenardite,-7.63,-7.99,-0.36,Na2SO4
EDISON,Thermonatrite,-8.15,2.79,10.94,Na2CO3:H2O
EDISON,Todorokite,-41.3,-87.13,-45.82,Mn7O12:3H2O
EDISON,Trona-K,-16.54,-4.95,11.59,K2NaH(CO3)2:2H2O
EDISON,Witherite,3.14,0.13,-3.02,BaCO3
EDISON,Wustite,-4.18,8.22,12.4,Fe.947O
MIDWAY-SUNSET,Alstonite,1.05,3.64,2.58,BaCa(CO3)2
MIDWAY-SUNSET,Anhydrite,-2.8,-7.15,-4.35,CaSO4
MIDWAY-SUNSET,Antarcticite,-9.15,-5.05,4.09,CaCl2:6H2O
MIDWAY-SUNSET,Aphthitalite,-13.5,-17.39,-3.89,NaK3(SO4)2
MIDWAY-SUNSET,Aragonite,0.82,2.79,1.97,CaCO3
MIDWAY-SUNSET,Arcanite,-7.88,-9.73,-1.84,K2SO4
MIDWAY-SUNSET,Arsenolite,-43.62,-63.46,-19.84,As2O3
MIDWAY-SUNSET,Artinite,-4.51,15.12,19.63,Mg2CO3(OH)2:3H2O
MIDWAY-SUNSET,As,-45.31,-2.63,42.68,As
MIDWAY-SUNSET,As2O5,-33.76,-31.63,2.14,As2O5
MIDWAY-SUNSET,As4O6(cubi),-87.1,-126.92,-39.82,As4O6
MIDWAY-SUNSET,As4O6(mono),-86.87,-126.92,-40.05,As4O6
MIDWAY-SUNSET,B,-82.79,26.77,109.56,B
MIDWAY-SUNSET,B(g),-174.07,26.77,200.84,B
MIDWAY-SUNSET,B2O3,-10.21,-4.66,5.55,B2O3
MIDWAY-SUNSET,Ba,-111.46,29.77,141.23,Ba
MIDWAY-SUNSET,Ba(OH)2:8H2O,-14.15,10.34,24.49,Ba(OH)2:8H2O
MIDWAY-SUNSET,BaCl2,-9.2,-6.97,2.23,BaCl2
MIDWAY-SUNSET,BaCl2:2H2O,-7.19,-6.98,0.21,BaCl2:2H2O
MIDWAY-SUNSET,BaCl2:H2O,-7.8,-6.98,0.82,BaCl2:H2O
MIDWAY-SUNSET,BaMnO4,-41.49,-51.58,-10.09,BaMnO4
MIDWAY-SUNSET,BaO,-37.42,10.37,47.8,BaO
MIDWAY-SUNSET,Barite,0.92,-9.09,-10.01,BaSO4
MIDWAY-SUNSET,Barytocalcite,0.89,3.64,2.74,BaCa(CO3)2
MIDWAY-SUNSET,BaSeO3,-5.31,-11.88,-6.57,BaSeO3
MIDWAY-SUNSET,BaSeO4,-9.85,-17.3,-7.46,BaSeO4
MIDWAY-SUNSET,Bassanite,-3.45,-7.16,-3.71,CaSO4:0.5H2O
MIDWAY-SUNSET,Birnessite,-53.85,-139.4,-85.55,Mn8O14:5H2O
MIDWAY-SUNSET,Bischofite,-9.43,-5.04,4.39,MgCl2:6H2O
MIDWAY-SUNSET,Bixbyite,-7.99,-8.96,-0.96,Mn2O3
MIDWAY-SUNSET,Bloedite,-10.28,-12.75,-2.48,Na2Mg(SO4)2:4H2O
MIDWAY-SUNSET,Borax,-7.54,4.5,12.04,Na2(B4O5(OH)4):8H2O
MIDWAY-SUNSET,Boric_acid,-2.18,-2.34,-0.16,B(OH)3
MIDWAY-SUNSET,Brucite,-3.96,12.32,16.28,Mg(OH)2
MIDWAY-SUNSET,Burkeite,-16.36,-6.87,9.49,Na6CO3(SO4)2
MIDWAY-SUNSET,C,-34.87,29.28,64.15,C
MIDWAY-SUNSET,C(g),-152.49,29.28,181.77,C
MIDWAY-SUNSET,Ca,-108.12,31.71,139.83,Ca
MIDWAY-SUNSET,Ca(g),-133.36,31.71,165.07,Ca
MIDWAY-SUNSET,Ca2Cl2(OH)2:H2O,-19.02,7.27,26.29,Ca2Cl2(OH)2:H2O
MIDWAY-SUNSET,Ca3(AsO4)2,-12.5,5.3,17.8,Ca3(AsO4)2
MIDWAY-SUNSET,Ca4Cl2(OH)6:13H2O,-36.48,31.84,68.33,Ca4Cl2(OH)6:13H2O
MIDWAY-SUNSET,Calcite,0.96,2.79,1.82,CaCO3
MIDWAY-SUNSET,Carnallite,-13.11,-8.84,4.27,KMgCl3:6H2O
MIDWAY-SUNSET,CaSeO3:2H2O,-5.32,-9.95,-4.63,CaSeO3:2H2O
MIDWAY-SUNSET,CaSeO4,-12.28,-15.37,-3.09,CaSeO4
MIDWAY-SUNSET,CaSO4:0.5H2O(beta),-3.62,-7.16,-3.54,CaSO4:0.5H2O
MIDWAY-SUNSET,Celestite,-2.8,-8.52,-5.72,SrSO4
MIDWAY-SUNSET,Chloromagnesite,-26.83,-5.02,21.82,MgCl2
MIDWAY-SUNSET,Cl2(g),-39.74,-36.74,2.99,Cl2
MIDWAY-SUNSET,Claudetite,-43.67,-63.46,-19.8,As2O3
MIDWAY-SUNSET,CO2(g),-1.69,-9.52,-7.83,CO2
MIDWAY-SUNSET,Colemanite,-10.91,10.61,21.51,Ca2B6O11:5H2O
MIDWAY-SUNSET,Dolomite,3.12,5.59,2.47,CaMg(CO3)2
MIDWAY-SUNSET,Dolomite-dis,1.58,5.59,4.01,CaMg(CO3)2
MIDWAY-SUNSET,Dolomite-ord,3.13,5.59,2.46,CaMg(CO3)2
MIDWAY-SUNSET,Downeyite,-15.47,-22.26,-6.79,SeO2
MIDWAY-SUNSET,Epsomite,-5.2,-7.16,-1.96,MgSO4:7H2O
MIDWAY-SUNSET,Fe,-30.99,28.03,59.02,Fe
MIDWAY-SUNSET,Fe(OH)2,-5.27,8.62,13.89,Fe(OH)2
MIDWAY-SUNSET,Fe(OH)3,1.76,7.4,5.64,Fe(OH)3
MIDWAY-SUNSET,Fe2(SO4)3,-46.62,-43.58,3.05,Fe2(SO4)3
MIDWAY-SUNSET,FeO,-4.9,8.63,13.52,FeO
MIDWAY-SUNSET,Ferrite-Ca,5.63,27.12,21.5,CaFe2O4
MIDWAY-SUNSET,Ferrite-Dicalcium,-17.37,39.43,56.8,Ca2Fe2O5
MIDWAY-SUNSET,Ferrite-Mg,6.12,27.14,21.02,MgFe2O4
MIDWAY-SUNSET,Ferroselite,-33.09,-113.91,-80.82,FeSe2
MIDWAY-SUNSET,FeSO4,-13.44,-10.84,2.61,FeSO4
MIDWAY-SUNSET,Gaylussite,-4.06,7.11,11.16,CaNa2(CO3)2:5H2O
MIDWAY-SUNSET,Glauberite,-7.29,-12.76,-5.47,Na2Ca(SO4)2
MIDWAY-SUNSET,Goethite,6.88,7.41,0.53,FeOOH
MIDWAY-SUNSET,Gypsum,-2.63,-7.16,-4.53,CaSO4:2H2O
MIDWAY-SUNSET,H2(g),-23.6,-26.7,-3.1,H2
MIDWAY-SUNSET,H2O(g),-1.59,0,1.59,H2O
MIDWAY-SUNSET,Halite,-3.3,-1.74,1.56,NaCl
MIDWAY-SUNSET,Hausmannite,-9.8,0.34,10.14,Mn3O4
MIDWAY-SUNSET,HCl(g),-14.98,-8.67,6.3,HCl
MIDWAY-SUNSET,Hematite,14.74,14.81,0.08,Fe2O3
MIDWAY-SUNSET,Hexahydrite,-5.43,-7.16,-1.73,MgSO4:6H2O
MIDWAY-SUNSET,Huntite,0.98,11.2,10.22,CaMg3(CO3)4
MIDWAY-SUNSET,Hydroboracite,-9.74,10.62,20.36,MgCaB6O11:6H2O
MIDWAY-SUNSET,Hydromagnesite,-7.22,23.52,30.74,Mg5(CO3)4(OH)2:4H2O
MIDWAY-SUNSET,Hydrophilite,-16.78,-5.03,11.75,CaCl2
MIDWAY-SUNSET,Ice,-0.14,0,0.14,H2O
MIDWAY-SUNSET,Jarosite,-2.43,-11.84,-9.41,KFe3(SO4)2(OH)6
MIDWAY-SUNSET,Jarosite-Na,-4.34,-9.78,-5.45,NaFe3(SO4)2(OH)6
MIDWAY-SUNSET,K,-56.41,14.57,70.98,K
MIDWAY-SUNSET,K(g),-67.01,14.57,81.58,K
MIDWAY-SUNSET,K2CO3:1.5H2O,-13.17,0.21,13.38,K2CO3:1.5H2O
MIDWAY-SUNSET,K2O,-74.3,9.74,84.04,K2O
MIDWAY-SUNSET,K2Se,-57.36,-46.07,11.29,K2Se
MIDWAY-SUNSET,K3H(SO4)2,-20.7,-24.32,-3.62,K3H(SO4)2
MIDWAY-SUNSET,K8H4(CO3)6:3H2O,-45.91,-18.2,27.71,K8H4(CO3)6:3H2O
MIDWAY-SUNSET,Kainite,-10.64,-10.95,-0.31,KMgClSO4:3H2O
MIDWAY-SUNSET,Kalicinite,-4.94,-4.66,0.28,KHCO3
MIDWAY-SUNSET,Kieserite,-6.87,-7.14,-0.27,MgSO4:H2O
MIDWAY-SUNSET,KMgCl3,-30.07,-8.82,21.25,KMgCl3
MIDWAY-SUNSET,KMgCl3:2H2O,-22.79,-8.83,13.96,KMgCl3:2H2O
MIDWAY-SUNSET,KNaCO3:6H2O,-8,2.26,10.26,KNaCO3:6H2O
