RFR,mtry,n,RMSE,Rsquared,MAE,n_tst,RMSE_tst,Rsquared_tst,MAE_tst
As,6,385,2.03,0.597,1.67,94,2.11,0.607,1.64
Se,5,371,2.19,0.616,1.77,90,2.19,0.699,1.83
